2023-02-24 02:02:815 INFO  AirBus :79 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //a[@id='btn1_1']]
2023-02-24 02:02:382 INFO  AirBus :84 - I click on cookies[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 02:02:223 INFO  AirBus :95 - I enter Text[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 02:02:429 INFO  AirBus :100 - I click on[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 02:02:798 INFO  AirBus :108 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 02:02:288 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 02:02:623 INFO  AirBus :119 - I click On search Button[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 02:02:242 INFO  AirBus :125 - I click On Apply[[ChromeDriver: chrome on WINDOWS (1aca7d53c6a32f7b3049d8e74136eb79)] -> xpath: //a[contains(text(),'Apply')]]
2023-02-24 10:02:565 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (d2ac4a0c1fa6685afa4282b816af5d9f)] -> xpath: //a[@id='btn1_1']]
2023-02-24 10:02:191 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (d2ac4a0c1fa6685afa4282b816af5d9f)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 10:02:833 INFO  AirBus :95 - I click onProxy element for: DefaultElementLocator 'By.xpath: //button [@data-automation-id='dateType']'
2023-02-24 10:02:821 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (5aeabfd753643ef3add93439849a287c)] -> xpath: //a[@id='btn1_1']]
2023-02-24 10:02:03 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (5aeabfd753643ef3add93439849a287c)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 10:02:442 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (5aeabfd753643ef3add93439849a287c)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 10:02:725 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (5aeabfd753643ef3add93439849a287c)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 10:02:322 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (47b85c2701a78ab43e578239f510b273)] -> xpath: //a[@id='btn1_1']]
